date,minute_i,open_price,close_price,position,minute_ret
20220722,121,6946.8,6944.0,-1,0.0004030632809350898
20220722,122,6944.0,6958.0,-1,-0.002016129032258007
20220722,124,6957.2,6958.2,-1,-0.00014373598574146662
20220722,125,6958.2,6957.0,-1,0.00017245839441226707
20220722,126,6957.0,6960.0,-1,-0.0004312203536007697
20220722,127,6960.0,6961.8,-1,-0.000258620689655098
20220722,128,6961.8,6969.2,-1,-0.001062943491625612
20220722,129,6969.2,6968.6,-1,8.609309533369469e-05
20220722,130,6968.6,6970.6,-1,-0.00028700169331008496
20220722,131,6970.6,6965.2,-1,0.0007746822368233097
20220722,132,6965.2,6968.0,-1,-0.00040199850686262195
20220722,133,6968.0,6971.0,-1,-0.0004305396096440095
20220722,134,6971.0,6973.6,-1,-0.000372973748386185
20220722,136,6969.0,6966.2,-1,0.00040177930836560183
20220722,137,6965.0,6969.6,-1,-0.000660445082555583
20220722,138,6969.6,6966.6,-1,0.00043044077134990477
20220722,139,6966.6,6967.0,-1,-5.741681738569149e-05
20220722,140,6968.6,6973.4,-1,-0.000688804063943893
20220722,142,6969.6,6963.6,-1,0.0008608815426996985
20220722,143,6963.6,6960.8,-1,0.00040209087253717524
20220722,144,6960.8,6957.0,-1,0.0005459142627284308
20220722,145,6955.2,6957.4,-1,-0.0003163100989187484
20220722,146,6957.4,6953.8,-1,0.0005174346738723301
20220722,147,6953.8,6949.2,-1,0.0006615088153240078
20220722,148,6949.2,6947.8,-1,0.0002014620387957855
20220722,149,6947.4,6957.4,-1,-0.0014393873967240012
20220722,150,6957.4,6935.8,-1,0.0031046080432344247
20220722,151,6935.8,6930.6,-1,0.0007497332679718971
20220722,152,6930.6,6926.0,-1,0.0006637231985686665
20220722,153,6926.0,6919.4,-1,0.0009529309846953993
20220722,154,6919.4,6919.6,-1,-2.8904240252147773e-05
20220722,155,6918.8,6908.8,-1,0.0014453373417355753
20220722,156,6908.8,6908.0,-1,0.00011579434923580934
20220722,157,6908.0,6908.2,-1,-2.8951939780030855e-05
20220722,158,6908.2,6918.4,-1,-0.001476506181060211
20220722,159,6919.0,6923.0,-1,-0.000578118225176949
20220722,160,6923.0,6913.0,-1,0.001444460494005484
20220722,161,6913.0,6900.2,-1,0.0018515839722262895
20220722,162,6900.0,6893.4,-1,0.0009565217391305225
20220722,163,6893.4,6892.2,-1,0.00017407955435633227
20220722,164,6892.2,6885.8,-1,0.0009285859377266004
20220722,165,6885.8,6873.4,-1,0.0018008074588283796
20220722,166,6870.4,6879.4,-1,-0.0013099673963670178
20220722,167,6879.4,6878.8,-1,8.721690845125973e-05
20220722,168,6878.8,6886.4,-1,-0.0011048438681164896
20220722,169,6885.8,6883.4,-1,0.00034854337912815225
20220722,170,6883.4,6883.8,-1,-5.8110817328760334e-05
20220722,171,6883.8,6883.6,-1,2.905372032890874e-05
20220722,172,6883.8,6884.4,-1,-8.716116098650417e-05
20220722,173,6884.4,6888.4,-1,-0.000581023763871924
20220722,174,6888.4,6885.0,-1,0.0004935834155971319
20220722,175,6885.0,6878.0,-1,0.0010167029774872383
20220722,176,6876.0,6892.2,-1,-0.0023560209424082768
20220722,177,6893.2,6901.0,-1,-0.0011315499332675838
20220722,178,6901.0,6908.0,-1,-0.001014345746993106
20220722,179,6908.0,6911.2,-1,-0.00046323103647938346
20220722,183,6908.6,6908.8,-1,-2.8949425353808067e-05
20220722,184,6908.8,6899.2,-1,0.001389532190829157
20220722,185,6899.2,6901.0,-1,-0.00026089981447130484
20220722,186,6898.8,6898.6,-1,2.8990549081009398e-05
20220722,187,6898.6,6896.8,-1,0.0002609225060157261
20220722,188,6896.8,6887.0,-1,0.001420948845841541
20220722,189,6887.0,6886.6,-1,5.80804414113123e-05
20220722,190,6887.8,6890.8,-1,-0.0004355527163970585
20220722,191,6892.0,6901.0,-1,-0.0013058618688335244
20220722,193,6901.0,6900.0,-1,0.00014490653528476116
20220722,194,6900.0,6896.0,-1,0.0005797101449275255
20220722,195,6896.0,6886.2,-1,0.0014211136890951437
20220722,196,6886.2,6887.4,-1,-0.00017426156661137782
20220722,197,6887.4,6890.8,-1,-0.000493655080291644
20220722,198,6890.8,6896.6,-1,-0.0008417019794508818
20220722,199,6896.6,6899.6,-1,-0.0004349969550212496
20220722,200,6899.6,6899.8,-1,-2.898718766308761e-05
20220722,201,6899.8,6903.6,-1,-0.0005507406011768801
20220722,203,6891.0,6901.0,-1,-0.0014511681903932594
20220722,204,6901.0,6895.8,-1,0.0007535139834806692
20220722,205,6896.8,6910.0,-1,-0.0019139310984803704
20220725,121,6873.8,6873.6,-1,2.9095987663319e-05
20220725,122,6874.0,6882.8,-1,-0.0012801862089031335
20220725,124,6882.0,6881.4,-1,8.718395815177082e-05
20220725,125,6881.4,6888.2,-1,-0.0009881710117127795
20220725,126,6888.2,6881.4,-1,0.0009871954937429317
20220725,127,6881.4,6882.4,-1,-0.00014531926642824544
20220725,128,6882.4,6884.2,-1,-0.00026153667325345964
20220725,129,6884.2,6891.4,-1,-0.0010458731588274262
20220725,130,6893.2,6883.4,-1,0.0014216909417977819
20220725,131,6883.4,6889.4,-1,-0.0008716622599296286
