date,ret,cum_ret
20221202,-0.0007228057718288161,-0.00019202205994506283
20221205,0.00132090166084331,0.0011288796008982471
20221206,-0.001257644412645642,-0.00012876481174739496
20221207,0.0003017591971788969,0.00017299438543150192
20221208,-0.006091419073061655,-0.005918424687630153
20221209,0.003263623372223634,-0.0026548013154065186
20221212,0.00120651865891519,-0.0014482826564913287
20221213,-0.00444662414549768,-0.005894906801989008
20221214,-0.001411889424678403,-0.007306796226667411
20221215,-0.001876594442961177,-0.009183390669628588
20221216,0.000958059151485835,-0.008225331518142753
20221219,0.0015752642797236538,-0.0066500672384190995
20221220,0.003307764055286433,-0.0033423031831326666
20221221,-0.0028135961506037255,-0.006155899333736392
20221222,0.003880916978791893,-0.002274982354944499
20221223,0.0008303524045722988,-0.0014446299503722004
20221226,-0.0006736715429390694,-0.00211830149331127
20221227,-0.0007645322364983054,-0.002882833729809575
20221228,-0.0026235432158263627,-0.005506376945635938
20221229,-0.0047035997072248925,-0.01020997665286083
20221230,-0.002522489443268605,-0.012732466096129436
20230103,0.0012923431172910949,-0.01144012297883834
20230104,-0.0027811476664569845,-0.014221270645295325
20230105,0.0013640585830252405,-0.012857212062270085
20230106,-0.005300990444625953,-0.018158202506896037
20230109,-0.0006951215782869946,-0.018853324085183032
20230110,0.0012486665496657112,-0.01760465753551732
20230111,-0.0012885394320114596,-0.01889319696752878
20230112,-0.00303712257045885,-0.02193031953798763
20230113,0.0032489753954993983,-0.018681344142488232
20230116,0.0008250030881358228,-0.01785634105435241
20230117,-5.047922921441739e-05,-0.017906820283566827
20230118,-0.001740732618397578,-0.019647552901964405
20230119,0.0005366819151638724,-0.019110870986800532
20230120,-0.0019552756607402744,-0.021066146647540807
20230130,0.00453961953067028,-0.016526527116870526
20230131,0.000908927789825098,-0.015617599327045428
20230201,0.001374220358574596,-0.014243378968470832
20230202,-0.002962087685519643,-0.017205466653990475
20230203,-0.0007296615313708843,-0.01793512818536136
20230206,-0.004024202172306146,-0.021959330357667506
20230207,0.006102460513783492,-0.015856869843884014
20230208,0.0008242795766082445,-0.01503259026727577
20230209,0.004510625217196473,-0.010521965050079296
20230210,-0.0010772597399705264,-0.011599224790049822
20230213,0.00019534591331249462,-0.011403878876737328
20230214,-4.9645681023280375e-05,-0.011453524557760608
20230215,-0.0005854709092686372,-0.012038995467029245
20230216,0.0023962377471431484,-0.009642757719886097
20230217,0.008648166641472499,-0.000994591078413598
20230220,0.01242268940423985,0.011428098325826253
20230221,-0.0030017679842051503,0.008426330341621102
20230222,-0.0006402694499176853,0.007786060891703417
20230223,-0.001229302327837467,0.00655675856386595
20230224,-0.0021725199040347754,0.0043842386598311744
20230227,-0.006573727417189867,-0.002189488757358693
20230228,9.275880674575188e-05,-0.002096729950612941
20230301,-0.002118149719813278,-0.004214879670426219
20230302,-0.0005310308934748376,-0.004745910563901057
20230303,-0.004262371727386194,-0.00900828229128725
20230306,0.0009249956008873239,-0.008083286690399927
20230307,0.010704214351092811,0.0026209276606928844
20230308,0.0006395731785938663,0.0032605008392867507
20230309,-0.0012443011485435695,0.002016199690743181
20230310,-0.0028673097317160057,-0.0008511100409728245
20230313,-0.0002440476597098673,-0.0010951577006826918
20230314,-0.0013018031343411396,-0.0023969608350238314
20230315,-0.0019589957562984317,-0.004355956591322263
20230316,0.0017707973382423692,-0.002585159253079894
20230317,-0.006679728576691191,-0.009264887829771085
20230320,0.005105549025705813,-0.004159338804065271
20230321,0.0012751559240041788,-0.0028841828800610925
20230322,-0.0016550865605082787,-0.004539269440569371
20230323,0.002740036132118373,-0.0017992333084509982
20230324,-0.005206491735550212,-0.00700572504400121
20230327,-0.0006999296944251165,-0.007705654738426326
20230328,0.0005462852139495045,-0.007159369524476822
20230329,-0.0012954979193789962,-0.008454867443855818
20230330,0.002637107499042446,-0.005817759944813372
20230331,-0.0022201634527855285,-0.0080379233975989
20230403,-0.0007325673298999025,-0.008770490727498803
20230404,-0.00019904417280125486,-0.008969534900300058
20230406,-0.0040082403563783675,-0.012977775256678425
20230407,-0.0014999473142676134,-0.014477722570946039
20230410,-0.001120111366784582,-0.01559783393773062
20230411,0.000190618216047711,-0.01540721572168291
20230412,-0.00019664134666974586,-0.015603857068352656
20230413,-0.0019566851649277517,-0.017560542233280407
20230414,-0.0030809330340718644,-0.02064147526735227
20230417,0.003239420567873297,-0.017402054699478975
20230418,-0.0008610592012162632,-0.018263113900695238
20230419,0.0044020440182328535,-0.013861069882462385
20230420,-0.0023416278135165447,-0.01620269769597893
20230421,0.0055105625517588575,-0.010692135144220072
20230424,0.009544744904684488,-0.001147390239535584
20230425,0.0023618555565204646,0.0012144653169848807
20230426,0.001211939921196059,0.0024264052381809398
20230427,0.003072714074867422,0.005499119313048362
20230428,0.0026823646113200983,0.00818148392436846
20230504,-0.0006954379987601511,0.007486045925608309
20230505,-0.001499940857304094,0.005986105068304215
20230508,-0.002814422279383222,0.003171682788920993
20230509,0.0007691110720572381,0.003940793860978231
20230510,-0.0041161579514819024,-0.0001753640905036713
20230511,-0.0018081844479849174,-0.0019835485384885887
20230512,0.004201285907926455,0.0022177373694378666
20230515,0.01090250487714095,0.013120242246578817
20230516,0.0035649974162978992,0.016685239662876716
20230517,0.0020634767245627517,0.018748716387439468
20230518,5.328860376085931e-05,0.018802004991200327
20230519,-0.0018743594501651195,0.016927645541035208
20230522,-0.0016629672970912557,0.015264678243943952
20230523,0.003521687852608535,0.018786366096552487
20230524,0.0029479033686168332,0.02173426946516932
20230525,0.0045886783597789416,0.026322947824948262
20230526,-0.005613113940022729,0.020709833884925533
20230529,-0.003826487606205853,0.01688334627871968
20230530,0.0007298489091336346,0.017613195187853314
20230531,-0.0031757755297092682,0.014437419658144046
20230601,-0.002352126482863315,0.012085293175280731
20230602,-0.00014845061761703526,0.011936842557663696
20230605,-0.0010501031040929254,0.01088673945357077
20230606,0.0074432755627565905,0.01833001501632736
20230607,0.0014213103643195835,0.019751325380646945
20230608,0.0007155111857208851,0.02046683656636783
20230609,-0.003456118568625821,0.01701071799774201
20230612,0.004910961132026159,0.021921679129768168
20230613,0.0024454546695465984,0.024367133799314766
20230614,-0.00024966779097446157,0.024117466008340305
20230615,0.009794416826772623,0.03391188283511293
20230616,0.006323991558727093,0.04023587439384002
20230619,-0.001694314939983843,0.03854155945385618
20230620,-0.003175972314296449,0.03536558713955973
20230621,0.005087700585869603,0.04045328772542933
20230626,0.0001026249450871708,0.0405559126705165
20230627,0.0032079376075406785,0.04376385027805718
20230628,-0.003989684187319709,0.03977416609073747
