entry_date,entry_minute,exit_date,exit_minute,entry_price,exit_price,position_size,pnl
20220722,16,20220722,17,7046.6,7023.6,0.921463516045619,0.0
20220722,17,20220722,18,7036.2,7020.0,0.94708282622008,-0.0016501009496851244
20220722,18,20220722,19,7023.4,7007.8,0.9502419337204701,-0.00045847902855426987
20220722,19,20220722,20,7020.0,6997.6,0.9655820196467328,-0.0016514176056110744
20220722,20,20220722,21,7007.6,6987.0,0.988661667976644,-0.001377906872034296
20220722,21,20220722,22,6998.6,6987.0,0.9878311962952062,-0.0016386813574900308
20220722,165,20220722,166,6885.8,6870.4,0.9245845351754559,0.0
20220722,210,20220722,211,6926.8,6943.6,-0.9214420322424994,0.0
20220722,211,20220722,212,6938.0,6943.0,-0.8874610477576269,-0.0007437410464914543
20220722,221,20220722,222,6974.4,6976.8,-0.8773674547845169,0.0
20220725,20,20220725,21,6975.4,6957.0,0.9582119833764046,0.0
20220725,21,20220725,22,6964.2,6957.6,0.9390191378297881,-0.0009906559662718163
20220725,119,20220725,120,6890.8,6874.2,0.7559195334955702,0.0
20220725,120,20220725,121,6886.6,6873.8,0.956703179436581,-0.0013611073992021645
20220725,156,20220725,157,6874.0,6887.2,-0.9477000147340495,0.0
20220726,29,20220726,30,6884.4,6887.2,-0.772449979762777,0.0
20220726,41,20220726,42,6922.8,6926.4,-0.6848259046338057,0.0
20220726,44,20220726,45,6937.0,6938.8,-0.9312432601200558,0.0
20220726,71,20220726,72,6942.8,6946.0,-0.9666448349601853,0.0
20220728,47,20220728,48,7100.6,7123.0,-0.9698164816640644,0.0
20220728,48,20220728,49,7112.0,7123.0,-0.9877118496886004,-0.001499997370402889
20220729,51,20220729,52,7093.8,7095.8,0.7461337140138244,0.0
20220801,8,20220801,9,7015.8,7004.6,0.7060894927163859,0.0
20220801,25,20220801,26,7062.4,7079.0,-0.9896390484273145,0.0
20220801,26,20220801,27,7080.2,7079.0,-0.9500945047601569,0.00016773069378156943
20220801,54,20220801,55,7078.0,7084.6,-0.9483184383819455,0.0
20220802,6,20220802,7,7000.8,6981.0,0.6769966895707356,0.0
20220802,7,20220802,8,7000.8,6959.2,0.7964985287027067,-0.0019147146688236248
20220802,8,20220802,9,6981.0,6942.6,0.9622850316604655,-0.002487275164835855
20220802,9,20220802,10,6953.6,6895.8,0.9811170360894091,-0.0015222525523851656
20220802,10,20220802,11,6942.6,6913.8,0.9842095486964588,-0.006613700528474112
