date,ret,cum_ret
20230515,0.0055369187039367995,-0.14110931315483843
20230516,-0.00916344678263803,-0.15027275993747646
20230517,-0.0010901945235909372,-0.1513629544610674
20230518,-0.00348952060415475,-0.15485247506522215
20230519,-0.0006267874938836737,-0.15547926255910582
20230522,0.005549186005859519,-0.1499300765532463
20230523,-0.005441556422427052,-0.15537163297567336
20230524,-0.0011838735278271173,-0.15655550650350047
20230525,0.015083469769603841,-0.14147203673389663
20230526,-0.003124821929094246,-0.14459685866299088
20230529,-0.0031345991197160306,-0.1477314577827069
20230530,0.009027603579724541,-0.13870385420298237
20230531,-0.001852997940815282,-0.14055685214379765
20230601,-0.00023350129190791158,-0.14079035343570556
20230602,-0.005257005527322334,-0.1460473589630279
20230605,-0.005444823547229638,-0.15149218251025753
20230606,0.005764740801929125,-0.1457274417083284
20230607,-0.008507350863049656,-0.15423479257137807
20230608,-0.014963645937073111,-0.16919843850845118
20230609,0.003455947300388118,-0.16574249120806306
20230612,-0.0037786545712406028,-0.16952114577930366
20230613,-0.0033602308429871997,-0.17288137662229086
20230614,-0.0023186809895678895,-0.17520005761185875
20230615,-0.0022718770392614607,-0.1774719346511202
20230616,0.004561914707801207,-0.172910019943319
20230619,-0.004354682668693877,-0.17726470261201288
20230620,0.0021333529090445946,-0.1751313497029683
20230621,0.008392410384045257,-0.16673893931892303
20230626,-0.006294900026755257,-0.1730338393456783
20230627,-0.0010127340852954525,-0.17404657343097374
20230628,-0.0026162568699567013,-0.17666283030093044
20230629,0.003577179517750717,-0.17308565078317972
20230630,0.006436046378586302,-0.16664960440459342
20230703,0.0005164933968133667,-0.16613311100778005
20230704,0.00018384657630787782,-0.16594926443147218
20230705,0.0003652212424346546,-0.16558404318903752
20230706,0.002569719416033789,-0.16301432377300373
20230707,-0.0006954028131926915,-0.16370972658619642
20230710,0.00031320596101536147,-0.16339652062518106
20230711,-0.012408496307515171,-0.17580501693269623
20230712,0.008922086062692514,-0.16688293087000372
20230713,-0.00512795635297969,-0.1720108872229834
20230714,0.001686680216875125,-0.17032420700610829
20230717,0.005049729844031514,-0.16527447716207677
20230718,-0.002164366600178713,-0.16743884376225548
20230719,-0.0015498022641582399,-0.16898864602641372
20230720,0.003471464498805976,-0.16551718152760775
20230721,-0.0069339505945856805,-0.17245113212219343
20230724,-0.0038697937531432247,-0.17632092587533665
20230725,0.00043995440651922735,-0.17588097146881743
20230726,-0.0035230378101143156,-0.17940400927893174
20230727,0.007959023379606522,-0.17144498589932522
20230728,0.011330807226958561,-0.16011417867236666
20230731,-0.0029515164912966574,-0.16306569516366332
20230801,-0.003921941410984675,-0.166987636574648
20230802,-0.0019698392614746485,-0.16895747583612264
20230803,-0.007351311825398721,-0.17630878766152136
20230804,0.008108012474882242,-0.16820077518663912
20230807,-0.0026952046787276362,-0.17089597986536675
20230808,-0.007683917609468183,-0.17857989747483494
20230809,-0.005832427407934215,-0.18441232488276915
20230810,0.003454377273079734,-0.18095794760968942
20230811,0.013236734925614169,-0.16772121268407525
20230814,0.012595541403855992,-0.15512567128021926
20230815,0.0075742203098855265,-0.14755145097033373
20230816,-0.004843125235275969,-0.1523945762056097
20230817,0.014930885887456946,-0.13746369031815275
20230818,0.0017840564008814175,-0.13567963391727134
20230821,-0.012327594026677602,-0.14800722794394894
20230822,-0.013038480260299523,-0.16104570820424846
20230823,-0.005334432046876891,-0.16638014025112535
20230824,0.010490289576611467,-0.15588985067451389
20230825,-0.04513795468398196,-0.20102780535849585
20230828,-0.007154301026299548,-0.2081821063847954
20230829,0.011612938393528394,-0.196569167991267
20230830,0.004010538420290866,-0.19255862957097614
20230831,-0.0050902880562622155,-0.19764891762723835
20230901,0.00035174976341634245,-0.197297167863822
20230904,0.013230069220864005,-0.184067098642958
20230905,-0.0048977565383199195,-0.18896485518127792
20230906,0.005310795104174537,-0.1836540600771034
20230907,-0.006754829647581451,-0.19040888972468484
20230908,-0.0062062346913354105,-0.19661512441602025
20230911,0.006150716012891633,-0.19046440840312862
20230912,-0.0009007110569322352,-0.19136511946006085
20230913,0.009281988416267373,-0.18208313104379348
20230914,-9.114498744688948e-05,-0.18217427603124037
20230915,0.0007711045546522355,-0.18140317147658813
20230918,0.002147430701138986,-0.17925574077544915
20230919,-0.0028701622465791,-0.18212590302202825
